Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
XXII,"22nd Century Group, Inc",1.28,$116.09M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.94,$1.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6.14,$139.64M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iaf,
CH,"Aberdeen Chile Fund, Inc.",7.14,$66.81M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ch,
ABE           ,Aberdeen Emerging Markets Smaller Company Opportunities Fund I,13.37,$128.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abe,
FCO,"Aberdeen Global Income Fund, Inc.",8.43,$73.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fco,
IF,"Aberdeen Indonesia Fund, Inc.",7.29,$67.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/if,
ISL,"Aberdeen Israel Fund, Inc.",17.5682,$70.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/isl,
ACU,Acme United Corporation.,27.52,$91.57M,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,
AIII,"ACRE Realty Investors, Inc.",1.18,$24.18M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii,
ATNM,"Actinium Pharmaceuticals, Inc.",1.46,$81.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",38.01,$160.31M,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ae,
ADK,Adcare Health Systems Inc,1.08,$21.52M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,
ADK^A,Adcare Health Systems Inc,21.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adk^a,
