Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,Unnamed: 7
ATVI, Activision Blizzard Inc,55.87,1.25,2.29,3660868,0.8,
ADBE, Adobe Systems Incorporated,136.3,0.7,0.52,735732,0.3,
AKAM, Akamai Technologies Inc.,49.76,-0.64,-1.27,1673050,-0.1,
ALXN, Alexion Pharmaceuticals Inc.,122.53,-2.17,-1.74,378981,-0.4,
GOOG, Alphabet Inc.,927.99,-4.18,-0.45,546286,-1.3,
GOOGL, Alphabet Inc.,953.215,-3.495,-0.37,534389,-0.9,
AMZN, Amazon.com Inc.,950.568,-2.252,-0.24,1064348,-0.9,
AAL, American Airlines Group Inc.,47.465,0.385,0.82,2774970,0.2,
AMGN, Amgen Inc.,160.102,-3.1180000000000003,-1.91,1771464,-2.0,
ADI, Analog Devices Inc.,79.2414,0.7414,0.94,1724681,0.2,
AAPL, Apple Inc.,153.0094,-0.9806,-0.64,13255363,-4.5,
AMAT, Applied Materials Inc.,42.87,0.83,1.97,5165735,0.8,
ADSK, Autodesk Inc.,95.31,0.57,0.6,482015,0.1,
ADP, Automatic Data Processing Inc.,96.75,-0.33,-0.34,1222033,-0.1,
BIDU, Baidu Inc.,184.28,1.3,0.71,982218,0.3,
BIIB, Biogen Inc.,258.01,-3.27,-1.25,609160,-0.6,
BMRN, BioMarin Pharmaceutical Inc.,89.98,-1.17,-1.28,320098,-0.2,
AVGO, Broadcom Limited,232.13,3.67,1.61,1068897,1.3,
CA, CA Inc.,32.041,-0.009000000000000001,-0.03,771195,0.0,
CELG, Celgene Corporation,119.69,-0.41,-0.34,1152284,-0.3,
CERN, Cerner Corporation,64.78,-0.07,-0.11,416736,0.0,
CHTR, Charter Communications Inc.,325.335,-0.185,-0.06,369051,0.0,
CHKP, Check Point Software Technologies Ltd.,105.93,-0.11,-0.1,254621,0.0,
CTAS, Cintas Corporation,121.68,0.18,0.15,87718,0.0,
CSCO, Cisco Systems Inc.,33.7432,-0.1568,-0.46,6701158,-0.7,
CTXS, Citrix Systems Inc.,86.94,0.12,0.14,419772,0.0,
CTSH, Cognizant Technology Solutions Corporation,63.99,-0.18,-0.28,1590103,-0.1,
CMCSA, Comcast Corporation,38.94,-0.14,-0.36,5059103,-0.6,
COST, Costco Wholesale Corporation,171.37,-0.81,-0.47,1112587,-0.3,
CSX, CSX Corporation,51.575,-0.235,-0.45,1648993,-0.2,
CTRP, Ctrip.com International Ltd.,55.77,0.44,0.8,3671888,0.2,
XRAY, DENTSPLY SIRONA Inc.,62.67,-0.58,-0.92,558277,-0.1,
DISCA, Discovery Communications Inc.,26.25,-0.41,-1.54,2212700,-0.1,
DISCK, Discovery Communications Inc.,25.59,-0.41,-1.58,1064650,-0.1,
DISH, DISH Network Corporation,60.71,-0.53,-0.87,857889,-0.1,
DLTR, Dollar Tree Inc.,82.78,0.0,0.0,420248,0.0,
EBAY, eBay Inc.,33.81,0.09,0.27,4230973,0.1,
EA, Electronic Arts Inc.,110.16,14.15,14.74,6013673,3.8,
EXPE, Expedia Inc.,138.81,-0.59,-0.42,656029,-0.1,
ESRX, Express Scripts Holding Company,61.042,-1.038,-1.67,1416755,-0.6,
FB, Facebook Inc.,150.24,-0.24,-0.16,7032731,-0.5,
FAST, Fastenal Company,45.39,-0.11,-0.24,998959,0.0,
FISV, Fiserv Inc.,119.77,0.04,0.03,233313,0.0,
GILD, Gilead Sciences Inc.,67.09,-0.52,-0.77,2767544,-0.6,
HAS, Hasbro Inc.,101.2275,0.0375,0.04,307024,0.0,
HSIC, Henry Schein Inc.,175.92,-1.49,-0.84,175115,-0.1,
HOLX, Hologic Inc.,45.49,-0.08,-0.18,1229099,0.0,
IDXX, IDEXX Laboratories Inc.,162.44,0.38,0.23,186529,0.0,
ILMN, Illumina Inc.,180.975,-2.615,-1.42,395406,-0.3,
INCY, Incyte Corporation,118.69,-1.04,-0.87,526492,-0.2,
INTC, Intel Corporation,36.115,-0.255,-0.7,8496527,-1.1,
INTU, Intuit Inc.,126.965,0.235,0.19,243002,0.1,
ISRG, Intuitive Surgical Inc.,839.49,-3.68,-0.44,77447,-0.1,
JBHT, J.B. Hunt Transport Services Inc.,86.21,-1.4,-1.6,335306,-0.1,
JD, JD.com Inc.,38.81,0.28,0.73,7855730,0.2,
KLAC, KLA-Tencor Corporation,100.682,-0.128,-0.13,235716,0.0,
LRCX, Lam Research Corporation,149.98,-0.56,-0.37,626680,-0.1,
LBTYA, Liberty Global plc,30.32,-0.53,-1.72,2031934,-0.1,
LBTYK, Liberty Global plc,29.84,-0.52,-1.71,2608831,-0.3,
LILA, Liberty Global plc,21.46,-0.2,-0.92,220793,0.0,
LILAK, Liberty Global plc,21.19,-0.33,-1.53,253572,0.0,
LVNTA, Liberty Interactive Corporation,51.715,-0.335,-0.64,318464,0.0,
QVCA, Liberty Interactive Corporation,23.97,0.27,1.14,1444387,0.1,
MAR, Marriott International,102.49,-0.01,-0.01,929185,0.0,
MAT, Mattel Inc.,22.545,0.115,0.51,1237040,0.0,
MXIM, Maxim Integrated Products Inc.,46.15,0.25,0.54,535435,0.1,
MCHP, Microchip Technology Incorporated,77.96,1.51,1.98,3125974,0.3,
MU, Micron Technology Inc.,29.15,0.34,1.18,14892812,0.3,
MSFT, Microsoft Corporation,69.05,0.01,0.01,5285176,0.1,
MDLZ, Mondelez International Inc.,44.1499,-0.1501,-0.34,1928231,-0.2,
MNST, Monster Beverage Corporation,48.0,0.01,0.02,939460,0.0,
MYL, Mylan N.V.,37.39,-0.62,-1.63,6608011,-0.3,
NTES, NetEase Inc.,277.76,5.86,2.16,1042215,0.4,
