Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
DDD,3D Systems Corporation,14.51,$1.65B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,
MMM,3M Company,190.19,$113.66B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,14.31,$593.84M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,36.27,$5.25B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,
AHC,A.H. Belo Corporation,5.9,$128.22M,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",8.96,$612.39M,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",8.34,$197.58M,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,34.21,$1.17B,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",29.48,$2.14B,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,23.46,$50.17B,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,44.18,$76.34B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,65.11,$103.76B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,10.93,$743.08M,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,
GCH,"Aberdeen Greater China Fund, Inc.",10.7,$94.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gch,
